person_id,first_name,last_name,school_email
1,Elsa,Sundqvist,elsa.sundqvist@yrkesco.se
2,Filip,Ström,filip.strom@yrkesco.se
3,Göran,Sjöberg,goran.sjoberg@yrkesco.se
4,Hanna,Lindqvist,hanna.lindqvist@yrkesco.se
5,Isak,Lundin,isak.lundin@yrkesco.se
6,Julia,Nyberg,julia.nyberg@yrkesco.se
7,Kent,Palm,kent.palm@yrkesco.se
8,Lisa,Qvarnström,lisa.qvarnstrom@yrkesco.se
9,Mikael,Rosén,mikael.rosen@yrkesco.se
10,Nora,Sundell,nora.sundell@yrkesco.se
11,Olle,Tideman,olle.tideman@yrkesco.se
12,Paula,Vikström,paula.vikstrom@yrkesco.se 
13,Rikard,Westin,rikard.westin@yrkesco.se
14,Stina,Ågren,stina.agren@yrkesco.se
15,Ted,Österberg,ted.osterberg@yrkesco.se
16,Victor,Lindgren,victor.lindgren@yrkesco.se
17,Ana,Andersson,ana.andersson@yrkesco.se
18,Bob,Bobson,bob.bobson@yrkesco.se
19,Cissi,Carlsson,cissi.carlsson@yrkesco.se
20,David,Davidsson,david.davidsson@yrkesco.se
21,Eva,Eriksson,eva.eriksson@yrkesco.se
22,Fredrik,Fredriksson,fredrik.fredriksson@yrkesco.se
23,Greta,Gustavsson,greta.gustavsson@yrkesco.se
24,Håkan,Håkansson,hakan.hakansson@yrkesco.se
25,Ingrid,Isaksson,ingrid.isaksson@yrkesco.se
26,Johan,Johansson,johan.johansson@yrkesco.se
27,Karin,Karlsson,karin.karlsson@yrkesco.se
28,Lars,Larsson,lars.larsson@yrkesco.se
29,Maria,Magnusson,maria.magnusson@yrkesco.se
30,Niklas,Nilsson,niklas.nilsson@yrkesco.se
31,Olivia,Olsson,olivia.olsson@yrkesco.se
32,Peter,Pettersson,peter.pettersson@yrkesco.se
33,Quirina,Qvist,quirina.qvist@yrkesco.se
34,Robert,Runesson,robert.runesson@yrkesco.se
35,Sara,Svensson,sara.svensson@yrkesco.se
36,Tomas,Törnqvist,tomas.tornqvist@yrkesco.se
37,Ursula,Udd,ursula.udd@yrkesco.se
38,Viktor,Vesterlund,viktor.vesterlund@yrkesco.se
39,Wilma,Wallin,wilma.wallin@yrkesco.se
40,Xavier,Xylander,xavier.xylander@yrkesco.se
41,Ylva,Yngvesson,ylva.yngvesson@yrkesco.se
42,Zlatan,Zachrisson,zlatan.zachrisson@yrkesco.se
43,Åsa,Åberg,asa.aberg@yrkesco.se
44,Ägir,Äng,agir.ang@yrkesco.se
45,Örjan,Östberg,orjan.ostberg@yrkesco.se
46,Adam,Ahlgren,adam.ahlgren@yrkesco.se
47,Beata,Bergman,beata.bergman@yrkesco.se
48,Carl,Dahlberg,carl.dahlberg@yrkesco.se
49,Diana,Ekström,diana.ekstrom@yrkesco.se
50,Elias,Falk,elias.falk@yrkesco.se
51,Fanny,Granath,fanny.granath@yrkesco.se
52,Gustav,Hallberg,gustav.hallberg@yrkesco.se
53,Helena,Isgren,helena.isgren@yrkesco.se
54,Ivar,Jansson,ivar.jansson@yrkesco.se
55,Jenny,Kjellberg,jenny.kjellberg@yrkesco.se
56,Karl,Lindberg,karl.lindberg@yrkesco.se
57,Lena,Moberg,lena.moberg@yrkesco.se
58,Magnus,Nordström,magnus.nordstrom@yrkesco.se
59,Nina,Ohlsson,nina.ohlsson@yrkesco.se
60,Oscar,Persson,oscar.persson@yrkesco.se
61,Petra,Renström,petra.renstrom@yrkesco.se
62,Rasmus,Sandberg,rasmus.sandberg@yrkesco.se
63,Sofia,Tallberg,sofia.tallberg@yrkesco.se
64,Simon,Uddenberg,simon.uddenberg@yrkesco.se
65,Tove,Viklund,tove.viklund@yrkesco.se
66,Ulf,Wahlgren,ulf.wahlgren@yrkesco.se
