person_id,personal_number
17,19900101-1234
18,19850215-5678
19,19920320-9012
20,19880425-3456
21,19950530-7890
22,19830610-2345
23,19910715-6789
24,19870820-0123
25,19940925-4567
26,19821030-8901
27,20001110-3456
28,19981215-7890
29,19960120-2345
30,19930225-6789
31,19890330-0123
32,19860405-5678
33,19970510-9012
34,19840615-3456
35,19990720-7890
36,19810825-2345
37,20010930-6789
38,19801010-0123
39,20021115-4567
40,19791220-8901
41,20030125-3456
42,19780230-7890
43,20040310-2345
44,19770415-6789
45,20050520-0123
46,19760625-4567
47,20060730-8901
48,19750810-3456
49,20070915-7890
50,19741020-2345
51,20081125-6789
52,19731230-0123
53,20090110-4567
54,19720215-8901
55,20100320-3456
56,19710425-7890
57,20110530-2345
58,19700610-6789
59,20120715-0123
60,19690820-4567
61,20130925-8901
62,19681030-3456
63,20141110-7890
64,19671215-2345
65,20150120-6789
66,19660225-0123
